feature	score	p-value	#I-out-of-20	#O-out-of-334
,,group_16976	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16979	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22576	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16980	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_30796	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_19116	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_1503	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22565	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22561	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_10067	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_14001	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16960	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_25673	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_13512	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_586	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_11436	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_30055	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_16329	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_5832	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_7895	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_9807	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_25674	22.1355688623	2.54058584407e-06	4.0	6.0
,,group_13971	21.5658682635	3.41882209074e-06	5.0	10.0
,,group_5279	21.5658682635	3.41882209074e-06	5.0	10.0
,,group_22410	21.5658682635	3.41882209074e-06	5.0	10.0
,,group_3446	21.4007621121	3.72623043093e-06	8.0	25.0
,,group_35670	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_37556	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_30581	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_3854	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_33476	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_37546	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_35669	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_14972	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_8560	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_35671	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_21054	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_30716	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_18955	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_25715	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_33477	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_4188	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_37555	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_30582	20.9532934132	4.70618072633e-06	2.0	1.0
,,group_4940	20.0219968227	7.65564269341e-06	10.0	39.0
,,group_9538	19.6715943114	9.19581981439e-06	5.0	11.0
,,group_18668	19.6715943114	9.19581981439e-06	5.0	11.0
,,group_6656	19.6715943114	9.19581981439e-06	5.0	11.0
,,group_17849	19.6715943114	9.19581981439e-06	5.0	11.0
,,group_6974	19.6681137725	9.21258473564e-06	7.0	21.0
,,gpFI_1	19.6168947819	9.46287284185e-06	9.0	33.0
,,group_6972	19.6168947819	9.46287284185e-06	9.0	33.0
,,group_13547	19.4667392488	1.023667604e-05	4.0	7.0
,,group_6852	19.4667392488	1.023667604e-05	4.0	7.0
,,group_20990	19.4667392488	1.023667604e-05	4.0	7.0
,,group_4192	19.4667392488	1.023667604e-05	4.0	7.0
,,group_35678	19.4667392488	1.023667604e-05	4.0	7.0
,,group_16940	19.4667392488	1.023667604e-05	4.0	7.0
,,group_13517	19.4667392488	1.023667604e-05	4.0	7.0
,,group_22098	19.4667392488	1.023667604e-05	4.0	7.0
,,group_22096	19.4667392488	1.023667604e-05	4.0	7.0
,,group_5909	19.4667392488	1.023667604e-05	4.0	7.0
,,group_22097	19.4667392488	1.023667604e-05	4.0	7.0
,,group_17643	19.4667392488	1.023667604e-05	4.0	7.0
,,group_22095	19.4667392488	1.023667604e-05	4.0	7.0
,,group_35679	18.1797262618	2.01007231846e-05	3.0	4.0
,,group_638	18.1797262618	2.01007231846e-05	3.0	4.0
,,group_7460	18.1797262618	2.01007231846e-05	3.0	4.0
,,group_16975	18.1797262618	2.01007231846e-05	3.0	4.0
,,group_7436	18.1797262618	2.01007231846e-05	3.0	4.0
