feature	score	p-value	#I-out-of-20	#O-out-of-406
,,group_36563	20.3	6.62005839055e-06	1.0	0.0
,,group_21099	20.3	6.62005839055e-06	1.0	0.0
,,group_30717	20.3	6.62005839055e-06	1.0	0.0
,,group_30793	20.3	6.62005839055e-06	1.0	0.0
,,hxlR	20.3	6.62005839055e-06	1.0	0.0
,,hcpC_3	20.3	6.62005839055e-06	1.0	0.0
,,group_21094	20.3	6.62005839055e-06	1.0	0.0
,,group_5628	20.3	6.62005839055e-06	1.0	0.0
,,group_38769	20.3	6.62005839055e-06	1.0	0.0
,,group_30730	20.3	6.62005839055e-06	1.0	0.0
,,group_36570	20.3	6.62005839055e-06	1.0	0.0
,,group_21007	20.3	6.62005839055e-06	1.0	0.0
,,group_21176	20.3	6.62005839055e-06	1.0	0.0
,,group_36539	20.3	6.62005839055e-06	1.0	0.0
,,group_32017	20.3	6.62005839055e-06	1.0	0.0
,,group_38787	20.3	6.62005839055e-06	1.0	0.0
,,group_38827	20.3	6.62005839055e-06	1.0	0.0
,,group_21193	20.3	6.62005839055e-06	1.0	0.0
,,group_21200	20.3	6.62005839055e-06	1.0	0.0
,,grsA	20.3	6.62005839055e-06	1.0	0.0
,,group_21195	20.3	6.62005839055e-06	1.0	0.0
,,group_6092	20.3	6.62005839055e-06	1.0	0.0
,,group_21122	20.3	6.62005839055e-06	1.0	0.0
,,group_30740	20.3	6.62005839055e-06	1.0	0.0
,,group_30747	20.3	6.62005839055e-06	1.0	0.0
,,group_38828	20.3	6.62005839055e-06	1.0	0.0
,,group_10848	20.3	6.62005839055e-06	1.0	0.0
,,ohrR_3	20.3	6.62005839055e-06	1.0	0.0
,,group_36546	20.3	6.62005839055e-06	1.0	0.0
,,group_30738	20.3	6.62005839055e-06	1.0	0.0
,,group_30761	20.3	6.62005839055e-06	1.0	0.0
,,group_38833	20.3	6.62005839055e-06	1.0	0.0
,,group_38774	20.3	6.62005839055e-06	1.0	0.0
,,group_32191	20.3	6.62005839055e-06	1.0	0.0
,,group_38822	20.3	6.62005839055e-06	1.0	0.0
,,group_21018	20.3	6.62005839055e-06	1.0	0.0
,,group_20987	20.3	6.62005839055e-06	1.0	0.0
,,group_8205	20.3	6.62005839055e-06	1.0	0.0
,,group_21113	20.3	6.62005839055e-06	1.0	0.0
,,group_36285	20.3	6.62005839055e-06	1.0	0.0
,,group_38816	20.3	6.62005839055e-06	1.0	0.0
,,gpr_3	20.3	6.62005839055e-06	1.0	0.0
,,group_21029	20.3	6.62005839055e-06	1.0	0.0
,,group_38841	20.3	6.62005839055e-06	1.0	0.0
,,group_14264	20.3	6.62005839055e-06	1.0	0.0
,,group_30722	20.3	6.62005839055e-06	1.0	0.0
,,group_1268	20.3	6.62005839055e-06	1.0	0.0
,,group_804	20.3	6.62005839055e-06	1.0	0.0
,,group_38802	20.3	6.62005839055e-06	1.0	0.0
,,group_38795	20.3	6.62005839055e-06	1.0	0.0
,,group_38810	20.3	6.62005839055e-06	1.0	0.0
,,group_21104	20.3	6.62005839055e-06	1.0	0.0
,,group_21123	20.3	6.62005839055e-06	1.0	0.0
,,group_30774	20.3	6.62005839055e-06	1.0	0.0
,,group_5629	20.3	6.62005839055e-06	1.0	0.0
,,group_32167	20.3	6.62005839055e-06	1.0	0.0
,,group_30718	20.3	6.62005839055e-06	1.0	0.0
,,group_20178	20.3	6.62005839055e-06	1.0	0.0
,,group_1600	20.3	6.62005839055e-06	1.0	0.0
,,group_21238	20.3	6.62005839055e-06	1.0	0.0
,,group_36584	20.3	6.62005839055e-06	1.0	0.0
,,group_21207	20.3	6.62005839055e-06	1.0	0.0
,,group_12060	20.3	6.62005839055e-06	1.0	0.0
,,group_36304	20.3	6.62005839055e-06	1.0	0.0
,,group_21021	20.3	6.62005839055e-06	1.0	0.0
,,group_30798	20.3	6.62005839055e-06	1.0	0.0
,,pntA_2	20.3	6.62005839055e-06	1.0	0.0
