feature	score	p-value	#I-out-of-135	#O-out-of-14
PA14_22160	264.112007876	2.17882876548e-59	2765.0	11.0
PA14_53630	263.628222036	2.7776084314e-59	1831.0	439.0
PA14_59610	258.611618408	3.44471449039e-58	4359.0	106.0
PA14_03270	256.197240944	1.1573105224e-57	3812.0	74.0
PA14_43370,kdpC	251.548965172	1.19331580556e-56	3623.0	712.0
PA14_43405,kdbF	241.909712222	1.50768200463e-54	2953.0	605.0
PA14_14400	240.510544365	3.0435787883e-54	997.0	282.0
PA14_63440	231.498684133	2.80872411161e-52	1284.0	330.0
PA14_18960	230.056862886	5.79350977982e-52	5751.0	219.0
PA14_39250	225.757600108	5.01852411878e-51	3564.0	685.0
PA14_51560	221.432086168	4.40568642199e-50	1023.0	279.0
PA14_49000	217.422749824	3.30036765522e-49	239.0	114.0
PA14_27830	211.609722059	6.11894165573e-48	1989.0	437.0
PA14_03250	211.203423287	7.50440809664e-48	3109.0	59.0
PA14_03285	209.373815412	1.88140581669e-47	2406.0	20.0
PA14_26340	205.840393648	1.1102387303e-46	3771.0	700.0
PA14_28800	201.703703704	8.8726490026e-46	1945.0	0.0
PA14_40520	200.793951169	1.40144370215e-45	2856.0	563.0
PA14_30850,trbI	196.335561186	1.31683283531e-44	8301.0	439.0
PA14_63450	195.556078528	1.94826657526e-44	169.0	90.0
PA14_53650	190.363698721	2.6481577886e-43	2770.0	543.0
PA14_48980	184.392890079	5.32520691319e-42	1628.0	364.0
PA14_18970,pldA	183.71287102	7.49539548549e-42	6794.0	336.0
PA14_10170,fepB	183.654492095	7.71861995422e-42	4719.0	814.0
PA14_03166	182.49017038	1.38591071988e-41	225.0	102.0
PA14_22550	180.223445196	4.33145024143e-41	5762.0	262.0
PA14_64260	179.57690269	5.99515218814e-41	3743.0	675.0
PA14_28770	176.555128741	2.73914411185e-40	2105.0	21.0
PA14_10980	176.28768808	3.13338984255e-40	5442.0	242.0
PA14_41510,nasA	175.248636647	5.28337020655e-40	3883.0	691.0
PA14_24360	174.309554813	8.47195840452e-40	4978.0	210.0
PA14_12170	172.669643032	1.93248319671e-39	2536.0	496.0
PA14_27990	171.390579756	3.67669040907e-39	1860.0	393.0
PA14_31190	166.284979944	4.793087356e-38	6606.0	339.0
PA14_48960	165.619025677	6.70018317168e-38	839.0	222.0
PA1781.1,P11	164.048415679	1.47633535224e-37	2374.0	466.0
PA14_23360,wzz	161.51027837	5.29273427599e-37	1328.0	303.0
PA14_28790	161.155555556	6.32672371995e-37	1554.0	0.0
PA14_40470	160.36716715	9.40648342464e-37	5662.0	273.0
PA14_44530,ygdE	159.672913478	1.33386920152e-36	3894.0	679.0
PA14_44200	158.320948996	2.63337377835e-36	3585.0	635.0
PA14_48900	157.888588479	3.27329341311e-36	606.0	176.0
PA14_20600	156.31167584	7.23702247676e-36	5953.0	299.0
PA14_43400,kdpA	156.105608639	8.02767434506e-36	4697.0	785.0
PA14_49520,pyoS3A	155.020592849	1.38577784572e-35	8189.0	476.0
PA14_13220	151.834445221	6.88667146082e-35	4763.0	214.0
PA0976.1,tRNA-Lys	150.799287443	1.15946465283e-34	3380.0	600.0
PA14_31150	149.5767497	2.14522583476e-34	3805.0	147.0
PA14_13200	148.381865608	3.91433329211e-34	5111.0	243.0
PA14_31180	148.021439646	4.69293467494e-34	6528.0	352.0
PA14_10110	146.243691641	1.14833027121e-33	535.0	158.0
PA14_43090	145.633877329	1.56092358978e-33	4125.0	173.0
PA14_49720	145.153264013	1.9881710795e-33	2795.0	513.0
PA14_03350	142.842709252	6.36241377844e-33	4175.0	179.0
PA14_43380,kdpB	141.557172194	1.21537177997e-32	5284.0	848.0
PA14_22530	139.754026275	3.01302571438e-32	4398.0	198.0
PA14_31000	139.359112223	3.67589677826e-32	2304.0	438.0
PA14_10900,ydjL	139.14287792	4.0987412895e-32	4122.0	691.0
PA14_54720	138.510188805	5.63654610073e-32	3971.0	670.0
PA14_03380	137.53832457	9.19513909052e-32	2183.0	48.0
PA14_30940,trbB	133.577800574	6.75817661906e-31	6805.0	390.0
PA14_31160	133.559145551	6.82197800071e-31	5445.0	283.0
